DATETIME_LOCAL,LOCAL_SITE_NAME,Bromine PM2.5 LC,Carbon monoxide,Cesium PM2.5 LC,Lead PM2.5 LC,Nitrogen dioxide (NO2),Outdoor Temperature,Ozone,PM2.5 - Local Conditions,Relative Humidity ,Strontium PM2.5 LC,Ozone_Lag1,Carbon monoxide_Lag1,Nitrogen dioxide (NO2)_Lag1,Hour,DayOfWeek,Site_ID,Sr_Cs_Ratio,Pb_Br_Ratio,Anomaly_Signal,Safety_Status
2024-04-01 04:00:00+00:00,Bald Eagle Recreational Center,,,,,,,,6.6,,,,,,4,0,0,,,1,NORMAL
2024-04-02 04:00:00+00:00,Bald Eagle Recreational Center,,,,,,,,2.5,,,,,,4,1,0,,,1,NORMAL
2024-04-03 04:00:00+00:00,Bald Eagle Recreational Center,,,,,,,,1.1,,,,,,4,2,0,,,1,NORMAL
2024-04-04 04:00:00+00:00,Bald Eagle Recreational Center,,,,,,,,6.2,,,,,,4,3,0,,,1,NORMAL
2024-04-05 04:00:00+00:00,Bald Eagle Recreational Center,,,,,,,,1.7,,,,,,4,4,0,,,1,NORMAL
2024-04-06 04:00:00+00:00,Bald Eagle Recreational Center,,,,,,,,2.1,,,,,,4,5,0,,,1,NORMAL
2024-04-07 04:00:00+00:00,Bald Eagle Recreational Center,,,,,,,,3.3,,,,,,4,6,0,,,1,NORMAL
2024-04-08 04:00:00+00:00,Bald Eagle Recreational Center,,,,,,,,5.1,,,,,,4,0,0,,,1,NORMAL
2024-04-09 04:00:00+00:00,Bald Eagle Recreational Center,,,,,,,,10.1,,,,,,4,1,0,,,1,NORMAL
2024-04-10 04:00:00+00:00,Bald Eagle Recreational Center,,,,,,,,12.7,,,,,,4,2,0,,,1,NORMAL
2024-04-11 04:00:00+00:00,Bald Eagle Recreational Center,,,,,,,,10.2,,,,,,4,3,0,,,1,NORMAL
2024-04-12 04:00:00+00:00,Bald Eagle Recreational Center,,,,,,,,7.5,,,,,,4,4,0,,,1,NORMAL
2024-04-13 04:00:00+00:00,Bald Eagle Recreational Center,,,,,,,,6.1,,,,,,4,5,0,,,1,NORMAL
2024-04-14 04:00:00+00:00,Bald Eagle Recreational Center,,,,,,,,4.6,,,,,,4,6,0,,,1,NORMAL
2024-04-15 04:00:00+00:00,Bald Eagle Recreational Center,,,,,,,,13.6,,,,,,4,0,0,,,1,NORMAL
2024-04-16 04:00:00+00:00,Bald Eagle Recreational Center,,,,,,,,3.4,,,,,,4,1,0,,,1,NORMAL
2024-04-17 04:00:00+00:00,Bald Eagle Recreational Center,,,,,,,,16.2,,,,,,4,2,0,,,1,NORMAL
2024-04-18 04:00:00+00:00,Bald Eagle Recreational Center,,,,,,,,7.6,,,,,,4,3,0,,,1,NORMAL
2024-04-19 04:00:00+00:00,Bald Eagle Recreational Center,,,,,,,,9.3,,,,,,4,4,0,,,1,NORMAL
2024-04-20 04:00:00+00:00,Bald Eagle Recreational Center,,,,,,,,7.8,,,,,,4,5,0,,,1,NORMAL
2024-04-21 04:00:00+00:00,Bald Eagle Recreational Center,,,,,,,,3.1,,,,,,4,6,0,,,1,NORMAL
2024-04-22 04:00:00+00:00,Bald Eagle Recreational Center,,,,,,,,3.1,,,,,,4,0,0,,,1,NORMAL
2024-04-23 04:00:00+00:00,Bald Eagle Recreational Center,,,,,,,,4.2,,,,,,4,1,0,,,1,NORMAL
2024-04-24 04:00:00+00:00,Bald Eagle Recreational Center,,,,,,,,10.3,,,,,,4,2,0,,,1,NORMAL
2024-04-25 04:00:00+00:00,Bald Eagle Recreational Center,,,,,,,,4.0,,,,,,4,3,0,,,1,NORMAL
2024-04-26 04:00:00+00:00,Bald Eagle Recreational Center,,,,,,,,9.4,,,,,,4,4,0,,,1,NORMAL
2024-04-27 04:00:00+00:00,Bald Eagle Recreational Center,,,,,,,,3.5,,,,,,4,5,0,,,1,NORMAL
2024-04-28 04:00:00+00:00,Bald Eagle Recreational Center,,,,,,,,9.0,,,,,,4,6,0,,,1,NORMAL
2024-04-29 04:00:00+00:00,Bald Eagle Recreational Center,,,,,,,,13.8,,,,,,4,0,0,,,1,NORMAL
2024-04-30 04:00:00+00:00,Bald Eagle Recreational Center,,,,,,,,12.9,,,,,,4,1,0,,,1,NORMAL
2024-05-01 04:00:00+00:00,Bald Eagle Recreational Center,,,,,,,,4.9,,,,,,4,2,0,,,1,NORMAL
2024-05-02 04:00:00+00:00,Bald Eagle Recreational Center,,,,,,,,7.3,,,,,,4,3,0,,,1,NORMAL
2024-05-03 04:00:00+00:00,Bald Eagle Recreational Center,,,,,,,,14.7,,,,,,4,4,0,,,1,NORMAL
2024-05-04 04:00:00+00:00,Bald Eagle Recreational Center,,,,,,,,5.7,,,,,,4,5,0,,,1,NORMAL
2024-05-05 04:00:00+00:00,Bald Eagle Recreational Center,,,,,,,,3.4,,,,,,4,6,0,,,1,NORMAL
2024-05-06 04:00:00+00:00,Bald Eagle Recreational Center,,,,,,,,6.4,,,,,,4,0,0,,,1,NORMAL
2024-05-07 04:00:00+00:00,Bald Eagle Recreational Center,,,,,,,,5.2,,,,,,4,1,0,,,1,NORMAL
2024-05-08 04:00:00+00:00,Bald Eagle Recreational Center,,,,,,,,6.6,,,,,,4,2,0,,,1,NORMAL
2024-05-09 04:00:00+00:00,Bald Eagle Recreational Center,,,,,,,,6.6,,,,,,4,3,0,,,1,NORMAL
2024-05-10 04:00:00+00:00,Bald Eagle Recreational Center,,,,,,,,6.0,,,,,,4,4,0,,,1,NORMAL
2024-05-11 04:00:00+00:00,Bald Eagle Recreational Center,,,,,,,,5.6,,,,,,4,5,0,,,1,NORMAL
2024-05-12 04:00:00+00:00,Bald Eagle Recreational Center,,,,,,,,3.1,,,,,,4,6,0,,,1,NORMAL
2024-05-13 04:00:00+00:00,Bald Eagle Recreational Center,,,,,,,,7.3,,,,,,4,0,0,,,1,NORMAL
2024-05-14 04:00:00+00:00,Bald Eagle Recreational Center,,,,,,,,10.8,,,,,,4,1,0,,,1,NORMAL
2024-05-15 04:00:00+00:00,Bald Eagle Recreational Center,,,,,,,,2.6,,,,,,4,2,0,,,1,NORMAL
2024-05-16 04:00:00+00:00,Bald Eagle Recreational Center,,,,,,,,2.6,,,,,,4,3,0,,,1,NORMAL
2024-05-17 04:00:00+00:00,Bald Eagle Recreational Center,,,,,,,,2.9,,,,,,4,4,0,,,1,NORMAL
2024-05-18 04:00:00+00:00,Bald Eagle Recreational Center,,,,,,,,5.5,,,,,,4,5,0,,,1,NORMAL
2024-05-19 04:00:00+00:00,Bald Eagle Recreational Center,,,,,,,,8.8,,,,,,4,6,0,,,1,NORMAL
2024-05-20 04:00:00+00:00,Bald Eagle Recreational Center,,,,,,,,6.2,,,,,,4,0,0,,,1,NORMAL
2024-05-21 04:00:00+00:00,Bald Eagle Recreational Center,,,,,,,,6.9,,,,,,4,1,0,,,1,NORMAL
2024-05-22 04:00:00+00:00,Bald Eagle Recreational Center,,,,,,,,15.8,,,,,,4,2,0,,,1,NORMAL
2024-05-23 04:00:00+00:00,Bald Eagle Recreational Center,,,,,,,,10.1,,,,,,4,3,0,,,1,NORMAL
2024-05-24 04:00:00+00:00,Bald Eagle Recreational Center,,,,,,,,9.5,,,,,,4,4,0,,,1,NORMAL
2024-05-25 04:00:00+00:00,Bald Eagle Recreational Center,,,,,,,,16.9,,,,,,4,5,0,,,1,NORMAL
2024-05-26 04:00:00+00:00,Bald Eagle Recreational Center,,,,,,,,12.9,,,,,,4,6,0,,,1,NORMAL
2024-05-27 04:00:00+00:00,Bald Eagle Recreational Center,,,,,,,,14.7,,,,,,4,0,0,,,1,NORMAL
2024-05-28 04:00:00+00:00,Bald Eagle Recreational Center,,,,,,,,9.4,,,,,,4,1,0,,,1,NORMAL
2024-05-29 04:00:00+00:00,Bald Eagle Recreational Center,,,,,,,,4.6,,,,,,4,2,0,,,1,NORMAL
2024-05-30 04:00:00+00:00,Bald Eagle Recreational Center,,,,,,,,7.4,,,,,,4,3,0,,,1,NORMAL
2024-05-31 04:00:00+00:00,Bald Eagle Recreational Center,,,,,,,,5.0,,,,,,4,4,0,,,1,NORMAL
2024-06-01 04:00:00+00:00,Bald Eagle Recreational Center,,,,,,,,6.8,,,,,,4,5,0,,,1,NORMAL
2024-06-02 04:00:00+00:00,Bald Eagle Recreational Center,,,,,,,,8.7,,,,,,4,6,0,,,1,NORMAL
2024-06-03 04:00:00+00:00,Bald Eagle Recreational Center,,,,,,,,14.8,,,,,,4,0,0,,,1,NORMAL
2024-06-04 04:00:00+00:00,Bald Eagle Recreational Center,,,,,,,,9.9,,,,,,4,1,0,,,1,NORMAL
2024-06-05 04:00:00+00:00,Bald Eagle Recreational Center,,,,,,,,10.1,,,,,,4,2,0,,,1,NORMAL
2024-06-06 04:00:00+00:00,Bald Eagle Recreational Center,,,,,,,,7.8,,,,,,4,3,0,,,1,NORMAL
2024-06-07 04:00:00+00:00,Bald Eagle Recreational Center,,,,,,,,9.2,,,,,,4,4,0,,,1,NORMAL
2024-06-08 04:00:00+00:00,Bald Eagle Recreational Center,,,,,,,,8.6,,,,,,4,5,0,,,1,NORMAL
2024-06-09 04:00:00+00:00,Bald Eagle Recreational Center,,,,,,,,10.4,,,,,,4,6,0,,,1,NORMAL
2024-06-10 04:00:00+00:00,Bald Eagle Recreational Center,,,,,,,,11.9,,,,,,4,0,0,,,1,NORMAL
2024-06-11 04:00:00+00:00,Bald Eagle Recreational Center,,,,,,,,3.6,,,,,,4,1,0,,,1,NORMAL
2024-06-12 04:00:00+00:00,Bald Eagle Recreational Center,,,,,,,,10.2,,,,,,4,2,0,,,1,NORMAL
2024-06-13 04:00:00+00:00,Bald Eagle Recreational Center,,,,,,,,13.5,,,,,,4,3,0,,,1,NORMAL
2024-06-14 04:00:00+00:00,Bald Eagle Recreational Center,,,,,,,,10.5,,,,,,4,4,0,,,1,NORMAL
2024-06-15 04:00:00+00:00,Bald Eagle Recreational Center,,,,,,,,10.6,,,,,,4,5,0,,,1,NORMAL
2024-06-16 04:00:00+00:00,Bald Eagle Recreational Center,,,,,,,,12.7,,,,,,4,6,0,,,1,NORMAL
2024-06-17 04:00:00+00:00,Bald Eagle Recreational Center,,,,,,,,15.5,,,,,,4,0,0,,,1,NORMAL
2024-06-18 04:00:00+00:00,Bald Eagle Recreational Center,,,,,,,,16.3,,,,,,4,1,0,,,1,NORMAL
2024-06-19 04:00:00+00:00,Bald Eagle Recreational Center,,,,,,,,4.8,,,,,,4,2,0,,,1,NORMAL
2024-06-20 04:00:00+00:00,Bald Eagle Recreational Center,,,,,,,,10.6,,,,,,4,3,0,,,1,NORMAL
2024-06-21 04:00:00+00:00,Bald Eagle Recreational Center,,,,,,,,278.7,,,,,,4,4,0,,,-1,🚨 ALERT
2024-06-22 04:00:00+00:00,Bald Eagle Recreational Center,,,,,,,,17.3,,,,,,4,5,0,,,1,NORMAL
2024-06-23 04:00:00+00:00,Bald Eagle Recreational Center,,,,,,,,13.7,,,,,,4,6,0,,,1,NORMAL
2024-06-24 04:00:00+00:00,Bald Eagle Recreational Center,,,,,,,,11.8,,,,,,4,0,0,,,1,NORMAL
2024-06-25 04:00:00+00:00,Bald Eagle Recreational Center,,,,,,,,19.2,,,,,,4,1,0,,,1,NORMAL
2024-06-26 04:00:00+00:00,Bald Eagle Recreational Center,,,,,,,,15.6,,,,,,4,2,0,,,1,NORMAL
2024-06-27 04:00:00+00:00,Bald Eagle Recreational Center,,,,,,,,5.2,,,,,,4,3,0,,,1,NORMAL
2024-06-28 04:00:00+00:00,Bald Eagle Recreational Center,,,,,,,,11.0,,,,,,4,4,0,,,1,NORMAL
2024-06-29 04:00:00+00:00,Bald Eagle Recreational Center,,,,,,,,10.8,,,,,,4,5,0,,,1,NORMAL
2024-06-30 04:00:00+00:00,Bald Eagle Recreational Center,,,,,,,,15.5,,,,,,4,6,0,,,1,NORMAL
2022-01-01 05:00:00+00:00,King Greenleaf Rec Center,,,,,,,,10.0,,,,,,5,5,1,,,1,NORMAL
2022-01-02 05:00:00+00:00,King Greenleaf Rec Center,,,,,,,,3.0,,,,,,5,6,1,,,1,NORMAL
2022-01-03 05:00:00+00:00,King Greenleaf Rec Center,,,,,,,,3.5,,,,,,5,0,1,,,1,NORMAL
2022-01-04 05:00:00+00:00,King Greenleaf Rec Center,,,,,,,,5.2,,,,,,5,1,1,,,1,NORMAL
2022-01-05 05:00:00+00:00,King Greenleaf Rec Center,,,,,,,,13.0,,,,,,5,2,1,,,1,NORMAL
2022-01-06 05:00:00+00:00,King Greenleaf Rec Center,,,,,,,,12.0,,,,,,5,3,1,,,1,NORMAL
2022-01-07 05:00:00+00:00,King Greenleaf Rec Center,,,,,,,,11.0,,,,,,5,4,1,,,1,NORMAL
2022-01-08 05:00:00+00:00,King Greenleaf Rec Center,,,,,,,,11.0,,,,,,5,5,1,,,1,NORMAL
2022-01-09 05:00:00+00:00,King Greenleaf Rec Center,,,,,,,,15.0,,,,,,5,6,1,,,1,NORMAL
2022-01-10 05:00:00+00:00,King Greenleaf Rec Center,,,,,,,,8.0,,,,,,5,0,1,,,1,NORMAL
2022-01-11 05:00:00+00:00,King Greenleaf Rec Center,,,,,,,,9.0,,,,,,5,1,1,,,1,NORMAL
